Marca temporal,Nombre de la receta,Restaurante,Pollo,Tomate,Res,Cerdo,Lechuga,Cebolla,Maduro,Maíz,Spaghetti,Leche,Queso,Arroz,Champiñón,Pescado,Atún,Pan,Papa,Tortilla,Frijol,Huevo,Brócoli,Aguacate,Camarón,Frijol negro,Pico de gallo,Sour Cream,Guacamole,Chicharrón,Salsa bechamel,Tocineta,Carne molida,Zanahoria,Apio,Salsa napolitana,Salsa teriyaki,Yuca,Salsa pesto,Piña
28/11/2023 0:27:12,bowl-wonka,Willy Wonka,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
28/11/2023 0:32:05,bowl-carne-pollo,Bristo Samán,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
28/11/2023 0:33:40,bowl-teriyaki,Bristo Samán,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
28/11/2023 0:35:02,bowl-vegetariano,Bristo Samán,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2023 0:36:00,pasta-carbonara,Bristo Samán,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28/11/2023 0:37:23,pasta-napolitana,Bristo Samán,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28/11/2023 0:38:36,pasta-bolognesa,Bristo Samán,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28/11/2023 0:39:47,pasta-pesto,Bristo Samán,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28/11/2023 0:40:47,pasta-pollo,Bristo Samán,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28/11/2023 0:51:00,carbonara,Bristo Samán,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28/11/2023 0:52:15,napolitana,Bristo Samán,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28/11/2023 0:53:50,bologñesa,Bristo Samán ,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
28/11/2023 0:55:06,pesto,Bristo Samán ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28/11/2023 0:56:22,pasta-pollo,Bristo Samán ,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28/11/2023 0:58:05,pasta-primavera,Bristo Samán ,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2023 0:59:28,pasta-primavera-con-pollo,Bristo Samán ,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2023 1:01:48,casero,Bristo Samán ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2023 1:03:29,sandwich-vegetariano,Bristo Samán ,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2023 1:05:47,sandwich-caprese,Bristo Samán ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28/11/2023 1:08:21,sándwich-de-la-casa,Bristo Samán ,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2023 1:11:13,sandwich-bacon,Bristo Samán ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
28/11/2023 1:12:48,sandwich-artellano,Bristo Samán ,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28/11/2023 1:15:04,spaghetti-bolognesa,Café Sabor ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28/11/2023 1:16:35,lasagna-mixta,Café Sabor,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28/11/2023 1:18:02,filete-pollo,Café Sabor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2023 1:20:46,sandwich-panpapayes-jamon-queso,Café Sabor,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2023 1:22:07,ensalada-mixta,Café Sabor,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
28/11/2023 1:23:10,ensalada-pasta-pollo,Café Sabor,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28/11/2023 1:24:28,almuerzo-ejecutivo,Anthony's ,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0